Title,Sector,Description,Salary
БАЯЖУУЛАХ ҮЙЛДВЭРИЙН ОПЕРАТОР,Уул уурхай,"Гүйцэтгэх үндсэн үүрэг-Ээлжийн мастерын удирдлаган тээрмийн нунтаглалт, тээрмийн шаар, хүдрийн харьцааг хянах, хөвүүлэн баяжуулалтын металл барилтыг удирдах, хянах, тохируулга хийх, баяжмалын нунтаглалтын зэрэг тодорхойлох, хаягдал гаргалтын чийгний хэмжээг хянан тохируулах, керамик шаазан (хавтан) фильтр ажиллуулах
-Ажлын байрны тодорхойлолтын дагуу ажиллах",
Нягтлан бодогч /Ulemj grease slon/,"Банк, санхүү, нягтлан бодох бүртгэл",Гүйцэтгэх үндсэн үүрэгАБТ-ын дагуу,
Call center operator,"Мэдээлэл технологи, Харилцаа холбоо","Гүйцэтгэх үндсэн үүрэг
Харилцагчид бараа бүтээгдэхүүний талаар дэлгэрэнгүй тайлбарлах, зээлийн үйлчилгээний талаар мэдээлэл өгөх, бараа бүтээгдэхүүн санал болгох","1,200,000 - 1,500,000 ₮"
БОРЛУУЛАЛТ ҮЙЛЧИЛГЭЭНИЙ МЭРГЭЖИЛТЭН,"Худалдаа, Борлуулалт","Гүйцэтгэх үндсэн үүрэгБорлуулалтыг үр дүнтэй удирдах явуулах замаар ашиг нэмэгдүүлэх гол зорилготой. Үүнд:
Борлуулалт, ашгийн хувь, үр ашигтай зарлагын үйл ажиллагааг удирдах болон ерөнхий барааны үйл ажиллагаа, дэлгүүрийн үйл ажиллагаа, барааны удирдлага, тоон үзүүлэлтийн удирдлага, ажилтны удирдлагыг уялдаа холбоотойгоо удирдан үр ашгийг нэмэгдүүлэх үүрэгтэй ба дарга бус хамт ажиллаж байгаа “Лидер”-ийн үүрэгтэй албан тушаал юм.","1,800,000 - 2,100,000 ₮"
ХАРИЛЦАГЧИЙН ҮЙЛЧИЛГЭЭНИЙ МЭРГЭЖИЛТЭН /ТЕЛЛЕР/,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгХарилцагчийн санхүүгийн хэрэгцээнд нийцсэн банкны бүтээгдэхүүн, үйлчилгээг холбогдох бодлого, журам, заавар, харилцагчийн үйлчилгээний стандартын дагуу санал болгох, хүргэх, борлуулах, харилцагч төвтэй банк болохын төлөө ажиллах","1,200,000 - 1,500,000 ₮"
ХАРИЛЦААНЫ МЭРГЭЖИЛТЭН /АВТОМАШИНЫ ЛИЗИНГИЙН ТӨВ/,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Лизингийн газрын үнэ цэнтэй харилцагчдад санхүүгийн иж бүрэн үйлчилгээ үзүүлэх, тэдгээрээс эх үүсвэр татах, салбарын харилцах, хадгаламжийн төлөвлөгөөг хангах, биелүүлэх;","1,200,000 - 1,500,000 ₮"
Нягтлан бодогч (Банкы салбар),"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэг
Харилцагчийн болон дотоод төлбөр тооцоотой холбоотой гүйлгээг өдөр тутам хийж гүйцэтгэх;
Тайлан мэдээг цаг хугацаанд нь бэлтгэн холбогдох байгууллага болон банкны нэгжүүдэд хүргүүлэх;
Өдөр тутмын үйл ажиллагааг хялбаршуулах, автоматжуулах санал боловсруулж ажиллах","2,500,000 - 3,000,000 ₮"
Маркшейдер инженер,Уул уурхай,Гүйцэтгэх үндсэн үүрэгАжлын байрны тодорхойлолтод заасны дагуу,"2,100,000 - 2,500,000 ₮"
ЕРӨНХИЙ НЯГТЛАН БОДОГЧ,"Аялал жуулчлал, зочид буудал","Гүйцэтгэх үндсэн үүрэг
Компанийн нягтлан бодох бүртгэлийн бодлого, холбогдох журам зааварт нийцүүлэн үйл ажиллагааг оновчтой, үр ашигтай зохион байгуулах, төлөвлөх, хөгжүүлэх, хэрэгжилтэнд хяналт тавих, компанийн мөнгөн урсгал болон үр ашгийн тайланг хянаж, санхүүгийн шинжилгээ хийж, дүгнэлт гаргах
Нягтлан бодох бүртгэлийн үйл ажиллагааг удирдан зохион байгуулах
Санхүү, нягтлан бодох бүртгэлийн үйл ажиллагаанд хяналт хийх
Санхүүгийн тайлан, татварын тайлан бэлтгэх
Удирдлагыг шаардлагатай санхүүгийн тоон мэдээлэл, тайлангаар хангах
Нягтлан бодогч нарыг сургаж хөгжүүлэх, удирдлагаар хангах","3,000,000 - 4,000,000 ₮"
Санхүү хариуцсан захирал,"Банк, санхүү, нягтлан бодох бүртгэл","Гүйцэтгэх үндсэн үүрэгКомпанийн санхүүгийн богино болон урт хугацааны төсөв, төлөвлөгөө боловсруулах тэдгээрийн гүйцэтгэлд хяналт тавих, үнэлгээ дүгнэлт гаргах","5,000,000 - 6,000,000 ₮"
